Data. Index (generated),Date,Dev By,Document Index (generated),Sever By,Source,Update Date,Confirmed,Deaths,Hospitalized,New Confirmed,New Deaths,New Hospitalized,New Recovered,Number of Records per timeline.json,Recovered
1,1/1/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,0,0,0,0,0,0,0,1,0
2,1/2/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,0,0,0,0,0,0,0,1,0
3,1/3/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,0,0,0,0,0,0,0,1,0
4,1/4/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,0,0,0,0,0,0,0,1,0
5,1/5/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,0,0,0,0,0,0,0,1,0
6,1/6/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,0,0,0,0,0,0,0,1,0
7,1/7/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,0,0,0,0,0,0,0,1,0
8,1/8/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,0,0,0,0,0,0,0,1,0
9,1/9/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,0,0,0,0,0,0,0,1,0
10,1/10/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,0,0,0,0,0,0,0,1,0
11,1/11/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,0,0,0,0,0,0,0,1,0
12,1/12/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,1,0,1,1,0,1,0,1,0
13,1/13/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,1,0,1,0,0,0,0,1,0
14,1/14/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,1,0,1,0,0,0,0,1,0
15,1/15/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,1,0,1,0,0,0,0,1,0
16,1/16/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,1,0,1,0,0,0,0,1,0
17,1/17/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,2,0,2,1,0,1,0,1,0
18,1/18/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,2,0,1,0,0,-1,1,1,1
19,1/19/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,2,0,1,0,0,0,0,1,1
20,1/20/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,2,0,1,0,0,0,0,1,1
21,1/21/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,2,0,0,0,0,-1,1,1,2
22,1/22/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,4,0,2,2,0,2,0,1,2
23,1/23/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,4,0,2,0,0,0,0,1,2
24,1/24/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,5,0,2,1,0,0,1,1,3
25,1/25/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,6,0,3,1,0,1,0,1,3
26,1/26/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,8,0,2,2,0,-1,3,1,6
27,1/27/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,8,0,2,0,0,0,0,1,6
28,1/28/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,14,0,8,6,0,6,0,1,6
29,1/29/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,14,0,8,0,0,0,0,1,6
30,1/30/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,14,0,7,0,0,-1,1,1,7
31,1/31/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,19,0,11,5,0,4,1,1,8
32,2/1/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,19,0,11,0,0,0,0,1,8
33,2/2/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,19,0,10,0,0,-1,1,1,9
34,2/3/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,19,0,10,0,0,0,0,1,9
35,2/4/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,25,0,15,6,0,5,1,1,10
36,2/5/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,25,0,15,0,0,0,0,1,10
37,2/6/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,25,0,15,0,0,0,0,1,10
38,2/7/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,25,0,15,0,0,0,0,1,10
39,2/8/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,32,0,22,7,0,7,0,1,10
40,2/9/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,32,0,21,0,0,-1,1,1,11
41,2/10/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,32,0,21,0,0,0,0,1,11
42,2/11/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,33,0,22,1,0,1,0,1,11
43,2/12/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,33,0,22,0,0,0,0,1,11
44,2/13/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,33,0,22,0,0,0,0,1,11
45,2/14/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,33,0,22,0,0,0,0,1,11
46,2/15/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,34,0,21,1,0,-1,2,1,13
47,2/16/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,34,0,19,0,0,-2,2,1,15
48,2/17/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,35,0,20,1,0,1,0,1,15
49,2/18/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,35,0,20,0,0,0,0,1,15
50,2/19/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,35,0,20,0,0,0,0,1,15
51,2/20/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,35,0,18,0,0,-2,2,1,17
52,2/21/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,35,0,16,0,0,-2,2,1,19
53,2/22/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,35,0,15,0,0,-1,1,1,20
54,2/23/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,35,0,14,0,0,-1,1,1,21
55,2/24/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,35,0,14,0,0,0,0,1,21
56,2/25/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,37,0,15,2,0,1,1,1,22
57,2/26/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,40,0,16,3,0,1,2,1,24
58,2/27/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,40,0,16,0,0,0,0,1,24
59,2/28/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,41,0,13,1,0,-3,4,1,28
60,2/29/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,42,0,14,1,0,1,0,1,28
61,3/1/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,42,1,11,0,1,-3,2,1,30
62,3/2/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,43,1,11,1,0,0,1,1,31
63,3/3/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,43,1,11,0,0,0,0,1,31
64,3/4/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,43,1,11,0,0,0,0,1,31
65,3/5/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,47,1,15,4,0,4,0,1,31
66,3/6/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,48,1,16,1,0,1,0,1,31
67,3/7/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,50,1,18,2,0,2,0,1,31
68,3/8/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,50,1,16,0,0,-2,2,1,33
69,3/9/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,50,1,16,0,0,0,0,1,33
70,3/10/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,53,1,19,3,0,3,0,1,33
71,3/11/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,59,1,24,6,0,5,1,1,34
72,3/12/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,70,1,34,11,0,10,1,1,35
73,3/13/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,75,1,39,5,0,5,0,1,35
74,3/14/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,82,1,46,7,0,7,0,1,35
75,3/15/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,114,1,76,32,0,30,2,1,37
76,3/16/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,147,1,108,33,0,32,1,1,38
77,3/17/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,177,1,135,30,0,27,3,1,41
78,3/18/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,212,1,169,35,0,34,1,1,42
79,3/19/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,272,1,229,60,0,60,0,1,42
80,3/20/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,322,1,278,50,0,49,1,1,43
81,3/21/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,411,1,366,89,0,88,1,1,44
82,3/22/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,599,1,553,188,0,187,1,1,45
83,3/23/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,721,1,668,122,0,115,7,1,52
84,3/24/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,827,4,766,106,3,98,5,1,57
85,3/25/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,934,4,860,107,0,94,13,1,70
86,3/26/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,1045,4,953,111,0,93,18,1,88
87,3/27/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,1136,5,1034,91,1,81,9,1,97
88,3/28/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,1245,6,1139,109,1,105,3,1,100
89,3/29/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,1388,7,1270,143,1,131,11,1,111
90,3/30/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,1524,9,1388,136,2,118,16,1,127
91,3/31/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,1651,10,1299,127,1,-89,215,1,342
92,4/1/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,1771,12,1343,120,2,44,74,1,416
93,4/2/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,1875,15,1355,104,3,12,89,1,505
94,4/3/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,1978,19,1378,103,4,23,76,1,581
95,4/4/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,2067,20,1435,89,1,57,31,1,612
96,4/5/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,2169,23,1472,102,3,37,62,1,674
97,4/6/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,2220,26,1401,51,3,-71,119,1,793
98,4/7/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,2258,27,1407,38,1,6,31,1,824
99,4/8/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,2369,30,1451,111,3,44,64,1,888
100,4/9/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,2423,32,1451,54,2,0,52,1,940
101,4/10/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,2473,33,1427,50,1,-24,73,1,1013
102,4/11/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,2518,35,1348,45,2,-79,122,1,1135
103,4/12/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,2551,38,1295,33,3,-53,83,1,1218
104,4/13/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,2579,40,1251,28,2,-44,70,1,1288
105,4/14/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,2613,41,1167,34,1,-84,117,1,1405
106,4/15/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,2643,43,1103,30,2,-64,92,1,1497
107,4/16/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,2672,46,1033,29,3,-70,96,1,1593
108,4/17/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,2700,47,964,28,1,-69,96,1,1689
109,4/18/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,2733,47,899,33,0,-65,98,1,1787
110,4/19/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,2765,47,790,32,0,-109,141,1,1928
111,4/20/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,2792,47,746,27,0,-44,71,1,1999
112,4/21/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,2811,48,655,19,1,-91,109,1,2108
113,4/22/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,2826,49,425,15,1,-230,244,1,2352
114,4/23/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,2839,50,359,13,1,-66,78,1,2430
115,4/24/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,2854,50,314,15,0,-45,60,1,2490
116,4/25/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,2907,51,309,53,1,-5,57,1,2547
117,4/26/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,2922,51,277,15,0,-32,47,1,2594
118,4/27/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,2931,52,270,9,1,-7,15,1,2609
119,4/28/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,2938,54,232,7,2,-38,43,1,2652
120,4/29/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,2947,54,228,9,0,-4,13,1,2665
121,4/30/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,2954,54,213,7,0,-15,22,1,2687
122,5/1/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,2960,54,187,6,0,-26,32,1,2719
123,5/2/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,2966,54,180,6,0,-7,13,1,2732
124,5/3/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,2969,54,176,3,0,-4,7,1,2739
125,5/4/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,2987,54,193,18,0,17,1,1,2740
126,5/5/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,2988,54,187,1,0,-6,7,1,2747
127,5/6/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,2989,55,173,1,1,-14,14,1,2761
128,5/7/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,2992,55,165,3,0,-8,11,1,2772
129,5/8/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,3000,55,161,8,0,-4,12,1,2784
